"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
Precios,,,,,,
"Índice de precios al consumidor",,,,,,
"Unidad de medida: Niveles del índice y variaciones en porcentajes",,,,,,
Fechas,Guatemala,,
,"IPC general","IPC variación mensual","IPC variación interanual"
2013-Mayo,112.32,0.27,4.27
2013-Junio,113.02,0.62,4.79
2013-Julio,113.36,0.30,4.74
2013-Agosto,113.52,0.14,4.42
2013-Setiembre,113.85,0.29,4.21
2013-Octubre,113.82,-0.03,4.15
2013-Noviembre,114.33,0.45,4.63
2013-Diciembre,114.68,0.31,4.39
2014-Enero,114.97,0.25,4.14
2014-Febrero,115.20,0.20,3.50
2014-Marzo,115.46,0.23,3.25
2014-Abril,115.68,0.19,3.27
2014-Mayo,115.94,0.22,3.22
2014-Junio,116.56,0.53,3.13
2014-Julio,117.23,0.57,3.41
2014-Agosto,117.72,0.42,3.70
2014-Setiembre,117.78,0.05,3.45
2014-Octubre,117.96,0.15,3.64
2014-Noviembre,118.19,0.19,3.38
2014-Diciembre,118.06,-0.11,2.95
2015-Enero,117.64,-0.36,2.32
2015-Febrero,118.01,0.31,2.44
2015-Marzo,118.26,0.21,2.43
2015-Abril,118.66,0.34,2.58
2015-Mayo,118.90,0.20,2.55
2015-Junio,119.34,0.37,2.39
2015-Julio,119.95,0.51,2.32
2015-Agosto,120.03,0.07,1.96
2015-Setiembre,119.99,-0.03,1.88
2015-Octubre,120.59,0.50,2.23
2015-Noviembre,121.16,0.47,2.51
2015-Diciembre,121.68,0.43,3.07
2016-Enero,122.79,0.91,4.38
2016-Febrero,123.05,0.21,4.27
2016-Marzo,123.30,0.20,4.26
2016-Abril,123.51,0.17,4.09
2016-Mayo,124.08,0.46,4.36
2016-Junio,124.63,0.44,4.43
2016-Julio,125.49,0.69,4.62
2016-Agosto,125.72,0.18,4.74
2016-Setiembre,125.46,-0.21,4.56
2016-Octubre,126.33,0.69,4.76
2016-Noviembre,126.82,0.39,4.67
2016-Diciembre,126.83,0.01,4.23
2017-Enero,127.49,0.52,3.83
2017-Febrero,127.92,0.34,3.96
2017-Marzo,128.23,0.24,4.00
2017-Abril,128.56,0.26,4.09
2017-Mayo,128.96,0.31,3.93
2017-Junio,130.07,0.86,4.36
2017-Julio,132.04,1.51,5.22
